Name,Compound,Date_Tweeted,Favorite,Negative,Neutral,Positive,Retweet,Tweet,User
BBC News (World),0.0,Thu Apr 26 21:23:30 +0000 2018,258,1.0,0.0,0.0,151,Kim Jong-un to meet Moon Jae-in at Korean border for summit https://t.co/GdTo2OoSfH,@BBCWorld
BBC News (World),-0.386,Thu Apr 26 21:03:08 +0000 2018,635,0.772,0.228,0.0,730,Spain 'wolf pack' case: Thousands protest over rape ruling https://t.co/prsg84Bg23,@BBCWorld
BBC News (World),-0.398,Thu Apr 26 19:53:12 +0000 2018,168,0.807,0.193,0.0,67,"Lawyer for ex basketball player Andrea Constand pays tribute to her client, after Bill Cosby was found guilty of se… https://t.co/EQJbIH8AWM",@BBCWorld
BBC News (World),-0.298,Thu Apr 26 19:52:41 +0000 2018,262,0.855,0.145,0.0,71,"Double amputee crawls up Colorado's 2,700-step Manitou Incline https://t.co/6GJ8ULEtkv",@BBCWorld
BBC News (World),-0.107,Thu Apr 26 19:50:19 +0000 2018,122,0.789,0.116,0.095,71,How Israeli-Palestinian peace accord was prepared https://t.co/RK7NP2uVGh #CrossingDivides,@BBCWorld
BBC News (World),-0.052,Thu Apr 26 19:33:15 +0000 2018,615,0.81,0.096,0.094,242,"""Money and power or who you are will not stop us from... prosecuting a case"" - District Attorney Kevin Steele makes… https://t.co/xWhONv4Rnd",@BBCWorld
BBC News (World),-0.044,Thu Apr 26 18:59:53 +0000 2018,551,0.837,0.083,0.081,161,Gloria Allred on Bill Cosby: 'Finally women are believed' https://t.co/MJROJeIlxt,@BBCWorld
BBC News (World),-0.098,Thu Apr 26 18:34:47 +0000 2018,105,0.828,0.102,0.07,74,Russia says its witnesses discredit alleged chemical attack in Syria https://t.co/cmMdFVtLf1,@BBCWorld
BBC News (World),-0.159,Thu Apr 26 18:31:46 +0000 2018,111,0.811,0.127,0.063,68,Israel flash flood: Nine teenaged hikers dead in south https://t.co/vnxHqz3AZk,@BBCWorld
BBC News (World),-0.123,Thu Apr 26 18:21:50 +0000 2018,69,0.807,0.114,0.079,19,Flirting across the India-Pakistan border https://t.co/61q9LWu3UR #CrossingDivides,@BBCWorld
BBC News (World),-0.165,Thu Apr 26 18:00:20 +0000 2018,523,0.789,0.139,0.072,243,Bill Cosby 'guilty' of sexual assault https://t.co/GUPben1CS8,@BBCWorld
BBC News (World),-0.152,Thu Apr 26 17:51:17 +0000 2018,119,0.807,0.127,0.066,38,Trump lets off steam in TV interview https://t.co/DrcfZQTabH,@BBCWorld
BBC News (World),-0.186,Thu Apr 26 17:36:05 +0000 2018,0,0.808,0.131,0.061,81,"RT @BBCNewsbeat: Avicii's family has released a new statement about his death, saying he ""could not go on any longer"" https://t.co/qQnRI0R3…",@BBCWorld
BBC News (World),-0.173,Thu Apr 26 17:16:34 +0000 2018,147,0.822,0.121,0.057,80,EX-CIA chief Mike Pompeo confirmed as secretary of state https://t.co/CsGuLME5vK,@BBCWorld
BBC News (World),-0.161,Thu Apr 26 17:15:44 +0000 2018,66,0.834,0.113,0.053,36,Can Nigeria's new tin mine heal ancient wounds? https://t.co/bx8pe87A6x #CrossingDivides,@BBCWorld
BBC News (World),-0.151,Thu Apr 26 16:53:33 +0000 2018,70,0.844,0.106,0.05,58,Nestlé withdraws 'degrading' wife-hunt ad campaign in Morocco https://t.co/baLF5Tplb4,@BBCWorld
BBC News (World),-0.173,Thu Apr 26 16:32:44 +0000 2018,155,0.837,0.116,0.047,61,Revenge porn hub taken down by Dutch police raid https://t.co/pPKcRn6STV,@BBCWorld
BBC News (World),-0.133,Thu Apr 26 16:13:22 +0000 2018,0,0.831,0.11,0.06,38,RT @BBCNews: Two ex-child soldiers forge peace bonds https://t.co/KWNhYSwRfq #CrossingDivides,@BBCWorld
BBC News (World),-0.126,Thu Apr 26 16:00:21 +0000 2018,0,0.84,0.104,0.057,70,"RT @BBCSport: Some female runners with high testosterone must race male athletes under new rules, unless they take medication for six month…",@BBCWorld
BBC News (World),-0.096,Thu Apr 26 15:58:25 +0000 2018,105,0.837,0.099,0.065,53,North and South Korea summit: The people Kim trusts the most https://t.co/25cMKqxa4q,@BBCWorld
BBC News (World),-0.083,Thu Apr 26 15:29:14 +0000 2018,75,0.834,0.099,0.068,32,"Where do you stand on gun control?

Could more guns make our streets safer?

Take part in our interactive conversat… https://t.co/d22aQ8PYTQ",@BBCWorld
BBC News (World),-0.103,Thu Apr 26 15:27:25 +0000 2018,69,0.825,0.11,0.065,43,Philippines protests as Kuwait expels envoy over maid 'rescues' https://t.co/38RIK8o1Kq,@BBCWorld
BBC News (World),-0.09,Thu Apr 26 15:13:22 +0000 2018,155,0.826,0.106,0.068,41,Brigitte Macron on life at the top as France's first lady https://t.co/Qc7To15K3i,@BBCWorld
BBC News (World),-0.107,Thu Apr 26 14:40:42 +0000 2018,0,0.826,0.109,0.065,51,"RT @BBC_HaveYourSay: Loot boxes officially banned in Belgium 🚫🎁🇧🇪

Fifa 18, Overwatch and Counter-Strike all violating the law... but Star…",@BBCWorld
BBC News (World),-0.117,Thu Apr 26 14:25:39 +0000 2018,259,0.824,0.113,0.063,124,"India state records 36,749 lightning strikes in 13 hours https://t.co/mIAxFXzFWx",@BBCWorld
BBC News (World),-0.113,Thu Apr 26 14:21:59 +0000 2018,65,0.831,0.109,0.06,41,Athlete Semenya hit by testosterone rules https://t.co/dcgnoAb8ZX,@BBCWorld
BBC News (World),-0.084,Thu Apr 26 14:05:53 +0000 2018,325,0.821,0.105,0.074,336,Tokio boy band member apologises for kissing schoolgirl https://t.co/yuLuyKHQ4O,@BBCWorld
